#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
25	McDonald, Tom	3	30	20	14	44	14.67	 	 	 	3	12	4	 	10	1	4	 	9	33	1	 	17	1	 	98.3	 
16	Laurie, Bailey	3	22	4	17	39	13.00	1	1	 	5	2	10	4	7	1	1	 	13	25	 	 	 	2	1	64.0	 
24	Rivers, Trent	2	21	13	16	37	18.50	 	1	 	5	6	7	2	4	 	 	 	5	30	 	1	1	 	 	70.0	 
21	Jefferson, Matthew	2	8	6	9	17	8.50	2	1	 	3	 	1	 	4	2	2	 	9	8	2	2	2	 	1	85.5	 
18	Melksham, Jake	2	9	6	7	16	8.00	4	 	 	1	 	2	 	6	 	3	 	3	12	1	3	3	2	1	78.5	 
19	Taylor, Xavier	2	6	2	9	15	7.50	 	 	 	5	5	2	1	1	 	1	 	9	9	1	 	7	 	 	71.0	 
27	Heath, Max	2	5	1	7	12	6.00	 	2	34	 	1	2	2	1	1	1	 	6	7	1	 	 	 	1	38.5	 
41	Cross, Paddy	1	2	1	4	6	6.00	1	 	 	 	 	 	 	1	1	 	 	2	3	 	 	1	 	1	61.0	 
30 players used	1467	601	959	2426	15.07	104	59	308	386	256	402	245	381	116	99	 	896	1429	68	102	278	76	74	 	 
[Top]
North Melbourne [Players Game by Game][Team Game by Game]
#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
3	Sheezel, Harry	7	117	46	112	229	32.71	3	4	 	26	14	32	35	28	5	9	 	71	156	1	5	4	3	5	79.6	 
9	Davies-Uniacke, Luke	7	84	32	98	182	26.00	2	3	 	33	10	39	41	25	9	11	 	77	110	 	2	5	9	5	82.6	 
26	Parker, Luke	7	105	47	74	179	25.57	2	 	 	12	37	9	8	18	6	4	 	46	110	6	2	16	9	4	88.3	 
5	Daniel, Caleb	7	108	38	70	178	25.43	 	 	 	21	32	16	12	17	5	6	 	34	127	 	 	14	7	2	86.0	 
10	McKercher, Colby	7	99	19	56	155	22.14	2	 	 	17	23	18	3	17	3	3	 	24	107	 	1	2	27	1	80.0	 
15	Stephens, Dylan	7	99	43	55	154	22.00	2	2	 	15	13	27	7	18	6	5	 	31	120	2	3	6	6	 	86.1	 
12	Simpkin, Jy	7	91	29	55	146	20.86	3	2	 	18	13	25	18	22	6	8	 	43	105	 	2	5	4	4	83.6	 
24	Powell, Tom	7	77	37	49	126	18.00	3	6	 	17	8	17	13	20	4	5	 	32	92	 	5	5	 	4	77.6	 
11	McDonald, Luke	7	85	45	37	122	17.43	1	 	 	17	33	11	3	17	5	6	 	20	96	1	 	19	1	2	85.4	 
